TIC,ra,dec
179214959,79.293,-68.135
179213889,79.346,-68.472
389563650,86.366,-68.021
149447160,84.918,-65.394
149270613,82.747,-65.47
179637067,80.749,-68.064
179040399,79.183,-68.187
231744384,78.222,-67.743
40346830,77.36,-69.159
179246025,79.594,-68.467
179246484,79.721,-68.57
179214292,79.509,-68.355
179041989,79.174,-68.626
179243106,79.677,-68.035
179213686,79.497,-68.524
179241385,79.686,-67.659
179214048,79.55,-68.427
179438643,80.114,-67.51
179246511,79.795,-68.581
179038909,79.186,-67.544
231744905,78.323,-67.929
179635477,80.474,-68.616
179040251,79.062,-68.133
373606887,81.175,-68.581
149444545,84.823,-63.728
179214268,79.399,-68.363
30935460,76.226,-68.685
40607177,77.828,-68.38
179437576,80.047,-68.041
40610794,77.843,-68.971
349196565,108.921,-64.523
231839598,25.121,-60.371
179040222,79.13,-68.123
373529874,80.833,-68.294
350182306,115.779,-62.254
309929030,126.83,-60.097
179245957,79.678,-68.459
231741667,78.089,-66.615
389370277,85.581,-66.175
30270899,73.961,-68.619
373842535,81.642,-68.1
389867705,87.813,-66.775
373529643,80.849,-68.389
373605331,81.09,-68.141
277314800,84.437,-67.354
349092211,107.672,-61.678
404928703,85.348,-66.815
179040693,78.976,-68.289
179245911,79.623,-68.454
179445373,80.367,-68.169
179637695,80.629,-67.85
231748670,78.302,-68.72
30186234,73.885,-68.217
179384143,80.143,-68.995
179040770,79.243,-68.317
179245839,79.58,-68.44
149180619,82.027,-65.848
374860518,88.656,-62.502
167169474,96.889,-66.273
167889798,105.284,-65.267
179041240,79.11,-68.458
179438154,79.885,-67.758
40520753,77.646,-68.288
167888793,105.121,-64.785
231792014,78.178,-69.297
179444152,80.193,-67.587
231746506,78.222,-68.359
373605883,81.101,-68.252
373914149,81.911,-67.492
404930115,85.38,-67.58
231051846,29.623,-57.999
231091186,68.843,-67.784
40608607,77.881,-68.654
40972143,78.71,-67.598
179445279,80.248,-68.129
382513166,117.455,-61.002
373769831,81.401,-70.468
179043113,78.989,-68.845
279949423,81.975,-66.139
348896269,105.851,-65.687
231741962,78.335,-66.768
40606059,77.884,-68.072
31701416,47.854,-68.804
322075134,14.726,-51.449
30464053,74.616,-68.481
149628162,87.391,-64.332
391743830,82.834,-66.161
231122546,69.653,-69.066
179213097,79.287,-68.657
40336038,77.298,-66.277
179384454,79.855,-68.953
358155214,70.318,-74.544
277185072,84.567,-71.649
179041083,79.156,-68.414
149932374,89.465,-65.39
179214977,79.296,-68.125
179041254,79.135,-68.462
29988610,72.989,-67.075
349679149,112.463,-61.549
373603933,81.25,-67.824
681131948,79.293,-68.134
